,scenario,month,decade,Site,Reach,proj_air_Temp_C,River,r_sq,sens_slope,sens_int,n_weeks,proj_h2o_Temp_C
147,rcp60,9,2060,Middle Beaver Creek,Middle,10.60000038,Beaver Creek,0.651567977,0.638623921,3.774106508,23,10.54352032
148,rcp60,9,2010,Middle Kenai River,Middle,9,Kenai River,0.225786873,0.679855343,0.620260616,32,6.738958707
149,rcp60,9,2030,Middle Kenai River,Middle,9.399999619,Kenai River,0.225786873,0.679855343,0.620260616,32,7.010900585
150,rcp60,9,2060,Middle Kenai River,Middle,10.39999962,Kenai River,0.225786873,0.679855343,0.620260616,32,7.690755929
151,rcp60,9,2010,Middle Ptarmigan Creek,Middle,8.600000381,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.04491825
152,rcp60,9,2030,Middle Ptarmigan Creek,Middle,9,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.12291886
153,rcp60,9,2060,Middle Ptarmigan Creek,Middle,9.899999619,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.29842033
154,rcp60,9,2010,Middle Russian River,Middle,8.600000381,Russian River,0.506008585,0.678164465,5.544883549,23,11.3770982
155,rcp60,9,2030,Middle Russian River,Middle,9,Russian River,0.506008585,0.678164465,5.544883549,23,11.64836373
156,rcp60,9,2060,Middle Russian River,Middle,9.899999619,Russian River,0.506008585,0.678164465,5.544883549,23,12.25871149
157,rcp60,9,2010,Upper Beaver Creek,Upper,9.300000191,Beaver Creek,0.635163913,0.705447999,2.969947154,19,9.530613675
158,rcp60,9,2030,Upper Beaver Creek,Upper,9.800000191,Beaver Creek,0.635163913,0.705447999,2.969947154,19,9.883337675
159,rcp60,9,2060,Upper Beaver Creek,Upper,10.69999981,Beaver Creek,0.635163913,0.705447999,2.969947154,19,10.5182406
160,rcp60,9,2010,Upper Ptarmigan Creek,Upper,8.199999809,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,10.715776
161,rcp60,9,2030,Upper Ptarmigan Creek,Upper,8.600000381,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,10.79246455
162,rcp60,9,2060,Upper Ptarmigan Creek,Upper,9.5,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,10.96501348
163,rcp60,9,2010,Upper Russian River,Upper,8.399999619,Russian River,0.347784781,0.669553152,5.0500815,23,10.67432772
164,rcp60,9,2030,Upper Russian River,Upper,8.800000191,Russian River,0.347784781,0.669553152,5.0500815,23,10.94214936
165,rcp60,9,2060,Upper Russian River,Upper,9.699999809,Russian River,0.347784781,0.669553152,5.0500815,23,11.54474695
166,rcp85,5,2010,Lower Beaver Creek,Lower,7.699999809,Beaver Creek,0.711428327,0.742543732,2.748754848,23,8.466341441
167,rcp85,5,2030,Lower Beaver Creek,Lower,9.300000191,Beaver Creek,0.711428327,0.742543732,2.748754848,23,9.654411695
168,rcp85,5,2060,Lower Beaver Creek,Lower,10.60000038,Beaver Creek,0.711428327,0.742543732,2.748754848,23,10.61971869
169,rcp85,5,2010,Lower Kenai River,Lower,7.699999809,Kenai River,0.376910884,0.724327052,2.24570342,24,7.823021581
170,rcp85,5,2030,Lower Kenai River,Lower,9.199999809,Kenai River,0.376910884,0.724327052,2.24570342,24,8.909512159
171,rcp85,5,2060,Lower Kenai River,Lower,10.60000038,Kenai River,0.376910884,0.724327052,2.24570342,24,9.923570446
172,rcp85,5,2010,Lower Ptarmigan Creek,Lower,7.5,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,10.23055446
173,rcp85,5,2030,Lower Ptarmigan Creek,Lower,9,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,10.70557266
174,rcp85,5,2060,Lower Ptarmigan Creek,Lower,10,Ptarmigan Creek,0.209413941,0.316678802,7.855463449,22,11.02225146
175,rcp85,5,2010,Lower Russian River,Lower,8.199999809,Russian River,0.234887161,0.454758559,4.812120396,20,8.541140494
176,rcp85,5,2030,Lower Russian River,Lower,9.800000191,Russian River,0.234887161,0.454758559,4.812120396,20,9.268754362
177,rcp85,5,2060,Lower Russian River,Lower,10.89999962,Russian River,0.234887161,0.454758559,4.812120396,20,9.768988517
178,rcp85,5,2010,Middle Beaver Creek,Middle,7.800000191,Beaver Creek,0.651567977,0.638623921,3.774106508,23,8.755373217
179,rcp85,5,2030,Middle Beaver Creek,Middle,9.300000191,Beaver Creek,0.651567977,0.638623921,3.774106508,23,9.713309099
180,rcp85,5,2060,Middle Beaver Creek,Middle,10.69999981,Beaver Creek,0.651567977,0.638623921,3.774106508,23,10.60738235
181,rcp85,5,2010,Middle Kenai River,Middle,8.199999809,Kenai River,0.225786873,0.679855343,0.620260616,32,6.195074303
182,rcp85,5,2030,Middle Kenai River,Middle,9.800000191,Kenai River,0.225786873,0.679855343,0.620260616,32,7.282843112
183,rcp85,5,2060,Middle Kenai River,Middle,10.89999962,Kenai River,0.225786873,0.679855343,0.620260616,32,8.0306836
184,rcp85,5,2010,Middle Ptarmigan Creek,Middle,7.300000191,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,10.79141598
185,rcp85,5,2030,Middle Ptarmigan Creek,Middle,8.899999619,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.10341861
186,rcp85,5,2060,Middle Ptarmigan Creek,Middle,9.899999619,Ptarmigan Creek,0.087102813,0.195001716,9.367903411,22,11.29842033
187,rcp85,5,2010,Middle Russian River,Middle,7.5,Russian River,0.506008585,0.678164465,5.544883549,23,10.63111703
188,rcp85,5,2030,Middle Russian River,Middle,9.100000381,Russian River,0.506008585,0.678164465,5.544883549,23,11.71618044
189,rcp85,5,2060,Middle Russian River,Middle,10.30000019,Russian River,0.506008585,0.678164465,5.544883549,23,12.52997766
190,rcp85,5,2010,Upper Beaver Creek,Upper,7.800000191,Beaver Creek,0.635163913,0.705447999,2.969947154,19,8.472441678
191,rcp85,5,2030,Upper Beaver Creek,Upper,9.300000191,Beaver Creek,0.635163913,0.705447999,2.969947154,19,9.530613675
192,rcp85,5,2060,Upper Beaver Creek,Upper,10.69999981,Beaver Creek,0.635163913,0.705447999,2.969947154,19,10.5182406
193,rcp85,5,2010,Upper Ptarmigan Creek,Upper,7.199999809,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,10.52405489
194,rcp85,5,2030,Upper Ptarmigan Creek,Upper,8.699999809,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,10.81163655
195,rcp85,5,2060,Upper Ptarmigan Creek,Upper,9.699999809,Ptarmigan Creek,0.070804943,0.191721109,9.143662943,23,11.00335766
196,rcp85,5,2010,Upper Russian River,Upper,7.099999905,Russian River,0.347784781,0.669553152,5.0500815,23,9.803908815
197,rcp85,5,2030,Upper Russian River,Upper,8.600000381,Russian River,0.347784781,0.669553152,5.0500815,23,10.80823886
198,rcp85,5,2060,Upper Russian River,Upper,9.800000191,Russian River,0.347784781,0.669553152,5.0500815,23,11.61170252
199,rcp85,6,2010,Lower Beaver Creek,Lower,11.80000019,Beaver Creek,0.711428327,0.742543732,2.748754848,23,11.51077102
200,rcp85,6,2030,Lower Beaver Creek,Lower,13.30000019,Beaver Creek,0.711428327,0.742543732,2.748754848,23,12.62458662
201,rcp85,6,2060,Lower Beaver Creek,Lower,14.80000019,Beaver Creek,0.711428327,0.742543732,2.748754848,23,13.73840222
202,rcp85,6,2010,Lower Kenai River,Lower,11.69999981,Kenai River,0.376910884,0.724327052,2.24570342,24,10.72032979
203,rcp85,6,2030,Lower Kenai River,Lower,13.19999981,Kenai River,0.376910884,0.724327052,2.24570342,24,11.80682037
