"sim.start","sim.end","sim_name","SimDay"
146,259,"Middle Beaver Creek_Chinook_Age_0",106
146,259,"Middle Beaver Creek_Chinook_Age_0",107
146,259,"Middle Beaver Creek_Chinook_Age_0",108
146,259,"Middle Beaver Creek_Chinook_Age_0",109
146,259,"Middle Beaver Creek_Chinook_Age_0",110
146,259,"Middle Beaver Creek_Chinook_Age_0",111
146,259,"Middle Beaver Creek_Chinook_Age_0",112
146,259,"Middle Beaver Creek_Chinook_Age_0",113
147,260,"Upper Beaver Creek_Chinook_Age_0",1
147,260,"Upper Beaver Creek_Chinook_Age_0",2
147,260,"Upper Beaver Creek_Chinook_Age_0",3
147,260,"Upper Beaver Creek_Chinook_Age_0",4
147,260,"Upper Beaver Creek_Chinook_Age_0",5
147,260,"Upper Beaver Creek_Chinook_Age_0",6
147,260,"Upper Beaver Creek_Chinook_Age_0",7
147,260,"Upper Beaver Creek_Chinook_Age_0",8
147,260,"Upper Beaver Creek_Chinook_Age_0",9
147,260,"Upper Beaver Creek_Chinook_Age_0",10
147,260,"Upper Beaver Creek_Chinook_Age_0",11
147,260,"Upper Beaver Creek_Chinook_Age_0",12
147,260,"Upper Beaver Creek_Chinook_Age_0",13
147,260,"Upper Beaver Creek_Chinook_Age_0",14
147,260,"Upper Beaver Creek_Chinook_Age_0",15
147,260,"Upper Beaver Creek_Chinook_Age_0",16
147,260,"Upper Beaver Creek_Chinook_Age_0",17
147,260,"Upper Beaver Creek_Chinook_Age_0",18
147,260,"Upper Beaver Creek_Chinook_Age_0",19
147,260,"Upper Beaver Creek_Chinook_Age_0",20
147,260,"Upper Beaver Creek_Chinook_Age_0",21
147,260,"Upper Beaver Creek_Chinook_Age_0",22
147,260,"Upper Beaver Creek_Chinook_Age_0",23
147,260,"Upper Beaver Creek_Chinook_Age_0",24
147,260,"Upper Beaver Creek_Chinook_Age_0",25
147,260,"Upper Beaver Creek_Chinook_Age_0",26
147,260,"Upper Beaver Creek_Chinook_Age_0",27
147,260,"Upper Beaver Creek_Chinook_Age_0",28
147,260,"Upper Beaver Creek_Chinook_Age_0",29
147,260,"Upper Beaver Creek_Chinook_Age_0",30
147,260,"Upper Beaver Creek_Chinook_Age_0",31
147,260,"Upper Beaver Creek_Chinook_Age_0",32
147,260,"Upper Beaver Creek_Chinook_Age_0",33
147,260,"Upper Beaver Creek_Chinook_Age_0",34
147,260,"Upper Beaver Creek_Chinook_Age_0",35
147,260,"Upper Beaver Creek_Chinook_Age_0",36
147,260,"Upper Beaver Creek_Chinook_Age_0",37
147,260,"Upper Beaver Creek_Chinook_Age_0",38
147,260,"Upper Beaver Creek_Chinook_Age_0",39
147,260,"Upper Beaver Creek_Chinook_Age_0",40
147,260,"Upper Beaver Creek_Chinook_Age_0",41
147,260,"Upper Beaver Creek_Chinook_Age_0",42
147,260,"Upper Beaver Creek_Chinook_Age_0",43
147,260,"Upper Beaver Creek_Chinook_Age_0",44
147,260,"Upper Beaver Creek_Chinook_Age_0",45
147,260,"Upper Beaver Creek_Chinook_Age_0",46
147,260,"Upper Beaver Creek_Chinook_Age_0",47
147,260,"Upper Beaver Creek_Chinook_Age_0",48
147,260,"Upper Beaver Creek_Chinook_Age_0",49
147,260,"Upper Beaver Creek_Chinook_Age_0",50
147,260,"Upper Beaver Creek_Chinook_Age_0",51
147,260,"Upper Beaver Creek_Chinook_Age_0",52
147,260,"Upper Beaver Creek_Chinook_Age_0",53
147,260,"Upper Beaver Creek_Chinook_Age_0",54
147,260,"Upper Beaver Creek_Chinook_Age_0",55
147,260,"Upper Beaver Creek_Chinook_Age_0",56
147,260,"Upper Beaver Creek_Chinook_Age_0",57
147,260,"Upper Beaver Creek_Chinook_Age_0",58
147,260,"Upper Beaver Creek_Chinook_Age_0",59
147,260,"Upper Beaver Creek_Chinook_Age_0",60
147,260,"Upper Beaver Creek_Chinook_Age_0",61
147,260,"Upper Beaver Creek_Chinook_Age_0",62
147,260,"Upper Beaver Creek_Chinook_Age_0",63
147,260,"Upper Beaver Creek_Chinook_Age_0",64
147,260,"Upper Beaver Creek_Chinook_Age_0",65
147,260,"Upper Beaver Creek_Chinook_Age_0",66
147,260,"Upper Beaver Creek_Chinook_Age_0",67
147,260,"Upper Beaver Creek_Chinook_Age_0",68
147,260,"Upper Beaver Creek_Chinook_Age_0",69
147,260,"Upper Beaver Creek_Chinook_Age_0",70
147,260,"Upper Beaver Creek_Chinook_Age_0",71
147,260,"Upper Beaver Creek_Chinook_Age_0",72
147,260,"Upper Beaver Creek_Chinook_Age_0",73
147,260,"Upper Beaver Creek_Chinook_Age_0",74
147,260,"Upper Beaver Creek_Chinook_Age_0",75
147,260,"Upper Beaver Creek_Chinook_Age_0",76
147,260,"Upper Beaver Creek_Chinook_Age_0",77
147,260,"Upper Beaver Creek_Chinook_Age_0",78
147,260,"Upper Beaver Creek_Chinook_Age_0",79
147,260,"Upper Beaver Creek_Chinook_Age_0",80
147,260,"Upper Beaver Creek_Chinook_Age_0",81
147,260,"Upper Beaver Creek_Chinook_Age_0",82
147,260,"Upper Beaver Creek_Chinook_Age_0",83
147,260,"Upper Beaver Creek_Chinook_Age_0",84
147,260,"Upper Beaver Creek_Chinook_Age_0",85
147,260,"Upper Beaver Creek_Chinook_Age_0",86
147,260,"Upper Beaver Creek_Chinook_Age_0",87
147,260,"Upper Beaver Creek_Chinook_Age_0",88
147,260,"Upper Beaver Creek_Chinook_Age_0",89
147,260,"Upper Beaver Creek_Chinook_Age_0",90
147,260,"Upper Beaver Creek_Chinook_Age_0",91
147,260,"Upper Beaver Creek_Chinook_Age_0",92
147,260,"Upper Beaver Creek_Chinook_Age_0",93
147,260,"Upper Beaver Creek_Chinook_Age_0",94
147,260,"Upper Beaver Creek_Chinook_Age_0",95
147,260,"Upper Beaver Creek_Chinook_Age_0",96
147,260,"Upper Beaver Creek_Chinook_Age_0",97
147,260,"Upper Beaver Creek_Chinook_Age_0",98
147,260,"Upper Beaver Creek_Chinook_Age_0",99
147,260,"Upper Beaver Creek_Chinook_Age_0",100
147,260,"Upper Beaver Creek_Chinook_Age_0",101
147,260,"Upper Beaver Creek_Chinook_Age_0",102
147,260,"Upper Beaver Creek_Chinook_Age_0",103
147,260,"Upper Beaver Creek_Chinook_Age_0",104
147,260,"Upper Beaver Creek_Chinook_Age_0",105
147,260,"Upper Beaver Creek_Chinook_Age_0",106
147,260,"Upper Beaver Creek_Chinook_Age_0",107
147,260,"Upper Beaver Creek_Chinook_Age_0",108
147,260,"Upper Beaver Creek_Chinook_Age_0",109
147,260,"Upper Beaver Creek_Chinook_Age_0",110
147,260,"Upper Beaver Creek_Chinook_Age_0",111
147,260,"Upper Beaver Creek_Chinook_Age_0",112
147,260,"Upper Beaver Creek_Chinook_Age_0",113
145,258,"Lower Beaver Creek_Chinook_Age_1",1
145,258,"Lower Beaver Creek_Chinook_Age_1",2
145,258,"Lower Beaver Creek_Chinook_Age_1",3
145,258,"Lower Beaver Creek_Chinook_Age_1",4
145,258,"Lower Beaver Creek_Chinook_Age_1",5
145,258,"Lower Beaver Creek_Chinook_Age_1",6
145,258,"Lower Beaver Creek_Chinook_Age_1",7
145,258,"Lower Beaver Creek_Chinook_Age_1",8
145,258,"Lower Beaver Creek_Chinook_Age_1",9
145,258,"Lower Beaver Creek_Chinook_Age_1",10
145,258,"Lower Beaver Creek_Chinook_Age_1",11
145,258,"Lower Beaver Creek_Chinook_Age_1",12
145,258,"Lower Beaver Creek_Chinook_Age_1",13
145,258,"Lower Beaver Creek_Chinook_Age_1",14
145,258,"Lower Beaver Creek_Chinook_Age_1",15
145,258,"Lower Beaver Creek_Chinook_Age_1",16
